FNDDTL_FUND_DETAIL_KEY,FNDDTL_FUND_DETAIL_CODE,FNDDTL_FUND_DETAIL_NAME,FND_FUND_CODE,FND_FUND_NAME
8425,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8426,0293,ENERGY PERFORMANCE CONTRACTS,02,SPECIAL REVENUE
8427,0302,FOUNDATION/OTHER GRANTS/CONTRACTS,03,HIGHER EDUCATION OPERATING
8428,0303,INDIRECT COST RECOVERY,03,HIGHER EDUCATION OPERATING
8429,0306,AUXILIARY ENTERPRISE,03,HIGHER EDUCATION OPERATING
8430,0739,STRIPPER WELL OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8431,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8432,0410,COMMONWEALTH TRANSPORTATION FUND,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8433,0307,EXCESS TUITION AND FEES,03,HIGHER EDUCATION OPERATING
8434,0308,WORK STUDY,03,HIGHER EDUCATION OPERATING
8435,0311,EMINENT SCHOLARS,03,HIGHER EDUCATION OPERATING
8436,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8437,0293,ENERGY PERFORMANCE CONTRACTS,02,SPECIAL REVENUE
8438,0297,ASBESTOS CLAIMS TRUST FUND,02,SPECIAL REVENUE
8439,0270,PARKING,02,SPECIAL REVENUE
8440,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8441,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8442,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8443,0246,DISASTER RECOVERY FUND,02,SPECIAL REVENUE
8444,0255,CONTRACT PRISONERS SPECIAL REVENUE FUND,02,SPECIAL REVENUE
8445,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8446,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8447,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8448,0820,VPBA PROJECTS,08,DEBT SERVICE
8449,0246,DISASTER RECOVERY FUND,02,SPECIAL REVENUE
8450,0231,MARINE PATROLS FUND,02,SPECIAL REVENUE
8451,0232,IMPROVEMENTS TO COMMERCIAL & SPORT FISHERIES,02,SPECIAL REVENUE
8452,0245,MARINE FISHING IMPROVEMENT FUND,02,SPECIAL REVENUE
8453,0255,CONTRACT PRISONERS SPECIAL REVENUE FUND,02,SPECIAL REVENUE
8454,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8455,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8456,0302,FOUNDATION/OTHER GRANTS/CONTRACTS,03,HIGHER EDUCATION OPERATING
8457,0303,INDIRECT COST RECOVERY,03,HIGHER EDUCATION OPERATING
8458,0306,AUXILIARY ENTERPRISE,03,HIGHER EDUCATION OPERATING
8459,0249,VA SALTWATER RECREATIONAL FISHING DEVELOPMENT FUND,02,SPECIAL REVENUE
8460,0265,FORFEITED ASSET SHARING PROGRAM,02,SPECIAL REVENUE
8461,0316,EXCESS INDIRECT COST RECOVERIES FUND,03,HIGHER EDUCATION OPERATING
8462,0317,STUDENT FINANCIAL ASSISTANCE,03,HIGHER EDUCATION OPERATING
8463,0370,PARKING,03,HIGHER EDUCATION OPERATING
8464,0739,STRIPPER WELL OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8465,0820,VPBA PROJECTS,08,DEBT SERVICE
8466,0930,VIRGINIA CRIME VICTIM - WITNESS FUND,09,DEDICATED SPECIAL REVENUE
8467,0384,RECYCLABLE MATERIAL SALES-GEN-HIGH ED,03,HIGHER EDUCATION OPERATING
8468,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8469,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8470,0230,CORRECTIONS SPECIAL RESERVE FUND,02,SPECIAL REVENUE
8471,0232,CORRECTIONS CONSTRUCTION UNIT SPECIAL OPERATING FD,02,SPECIAL REVENUE
8472,0240,VIRGINIA PUBLIC SAFETY FUND,02,SPECIAL REVENUE
8473,0246,DISASTER RECOVERY FUND,02,SPECIAL REVENUE
8474,0255,CONTRACT PRISONERS SPECIAL REVENUE FUND,02,SPECIAL REVENUE
8475,0257,OVERHEAD AND WARRANTY ACCOUNT FUND,02,SPECIAL REVENUE
8476,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8477,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8478,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8479,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8480,0275,PUBLIC-PRIVATE EDUCATION ACT FUND,02,SPECIAL REVENUE
8481,0811,9(B) DEBT SERVICE - CONSTRUCTION COSTS,08,DEBT SERVICE
8482,0817,VCBA 21ST CENTURY PROGRAM-CONSTRUCTION COST,08,DEBT SERVICE
8483,1088,SURPLUS SUPPLIES & EQUIP SALES - FEDERAL AGENCIES,10,FEDERAL TRUST
8484,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8485,0301,FEDERAL,03,HIGHER EDUCATION OPERATING
8486,0302,FOUNDATION/OTHER GRANTS/CONTRACTS,03,HIGHER EDUCATION OPERATING
8487,0255,CONTRACT PRISONERS SPECIAL REVENUE FUND,02,SPECIAL REVENUE
8488,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8489,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8490,0303,INDIRECT COST RECOVERY,03,HIGHER EDUCATION OPERATING
8491,0306,AUXILIARY ENTERPRISE,03,HIGHER EDUCATION OPERATING
8492,0307,EXCESS TUITION AND FEES,03,HIGHER EDUCATION OPERATING
8493,0307,EXCESS TUITION AND FEES,03,HIGHER EDUCATION OPERATING
8494,0308,WORK STUDY,03,HIGHER EDUCATION OPERATING
8495,0311,EMINENT SCHOLARS,03,HIGHER EDUCATION OPERATING
8496,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8497,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8498,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8499,0308,WORK STUDY,03,HIGHER EDUCATION OPERATING
8500,0311,EMINENT SCHOLARS,03,HIGHER EDUCATION OPERATING
8501,0401,HIGHWAY FEDERAL,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8502,0476,TOLL FACILITIES REVOLVING FUND,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8503,0820,VPBA PROJECTS,08,DEBT SERVICE
8504,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8505,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8506,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8507,0702,LITERARY FUND,07,TRUST AND AGENCY
8508,0722,MAIN STREET STATION PROPERTY,07,TRUST AND AGENCY
8509,0732,TICR ENDOWMENT,07,TRUST AND AGENCY
8510,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8511,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8512,0246,DISASTER RECOVERY FUND,02,SPECIAL REVENUE
8513,0735,TOBACCO SETTLEMENT FINANCING CORPORATION,07,TRUST AND AGENCY
8514,0762,RICHMOND PETERSBURG TOLLROAD,07,TRUST AND AGENCY
8515,0763,DULLES TOLLROAD,07,TRUST AND AGENCY
8516,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8517,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8518,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8519,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8520,0293,ENERGY PERFORMANCE CONTRACTS,02,SPECIAL REVENUE
8521,0270,PARKING,02,SPECIAL REVENUE
8522,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8523,0280,APPROPRIATED INDIRECT COST RECOVERIES,02,SPECIAL REVENUE
8524,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8525,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8526,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8527,0246,DISASTER RECOVERY FUND,02,SPECIAL REVENUE
8528,0255,CONTRACT PRISONERS SPECIAL REVENUE FUND,02,SPECIAL REVENUE
8529,0270,PARKING,02,SPECIAL REVENUE
8530,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8531,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8532,0410,HIGHWAY MAINTENANCE AND OPERATING FUND,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8533,0316,EXCESS INDIRECT COST RECOVERIES FUND,03,HIGHER EDUCATION OPERATING
8534,0317,STUDENT FINANCIAL ASSISTANCE,03,HIGHER EDUCATION OPERATING
8535,0370,PARKING,03,HIGHER EDUCATION OPERATING
8536,0702,LITERARY FUND,07,TRUST AND AGENCY
8537,0916,MARINE HABITAT AND WATERWAYS IMPROVEMENT FUND,09,DEDICATED SPECIAL REVENUE
8538,0249,VA SALTWATER RECREATIONAL FISHING DEVELOPMENT FUND,02,SPECIAL REVENUE
8539,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8540,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8541,0270,PARKING,02,SPECIAL REVENUE
8542,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8543,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8544,0764,ELIZABETH RIVER TOLLROAD,07,TRUST AND AGENCY
8545,0765,POWHITE EXTENSION TOLLROAD,07,TRUST AND AGENCY
8546,0767,TRANSPORTATION TRUST FUNDS,07,TRUST AND AGENCY
8547,0297,ASBESTOS CLAIMS TRUST FUND,02,SPECIAL REVENUE
8548,0739,STRIPPER WELL OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8549,0820,VPBA PROJECTS,08,DEBT SERVICE
8550,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8551,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8552,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8553,0768,VIRGINIA PORT AUTHORITY,07,TRUST AND AGENCY
8554,0769,VIRGINIA PUBLIC SCHOOL AUTHORITY,07,TRUST AND AGENCY
8555,0771,LOCAL GOVERNMENT INVESTMENT POOL,07,TRUST AND AGENCY
8556,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8557,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8558,0739,STRIPPER WELL OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8559,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8560,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8561,0316,EXCESS INDIRECT COST RECOVERIES FUND,03,HIGHER EDUCATION OPERATING
8562,0317,STUDENT FINANCIAL ASSISTANCE,03,HIGHER EDUCATION OPERATING
8563,0370,PARKING,03,HIGHER EDUCATION OPERATING
8564,0384,RECYCLABLE MATERIAL SALES-GEN-HIGH ED,03,HIGHER EDUCATION OPERATING
8565,0386,RECYCLABLE MATERIAL SALES-NON-GEN/FED-HIGH ED,03,HIGHER EDUCATION OPERATING
8566,0387,SURPLUS SUPPLIES AND EQUIP SALES-GEN-HIGH-ED,03,HIGHER EDUCATION OPERATING
8567,0384,RECYCLABLE MATERIAL SALES-GEN-HIGH ED,03,HIGHER EDUCATION OPERATING
8568,0386,RECYCLABLE MATERIAL SALES-NON-GEN/FED-HIGH ED,03,HIGHER EDUCATION OPERATING
8569,0387,SURPLUS SUPPLIES AND EQUIP SALES-GEN-HIGH-ED,03,HIGHER EDUCATION OPERATING
8570,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8571,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8572,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8573,0388,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN/FED-HIGH ED,03,HIGHER EDUCATION OPERATING
8574,0275,PUBLIC-PRIVATE EDUCATION ACT FUND,02,SPECIAL REVENUE
8575,0280,APPROPRIATED INDIRECT COST RECOVERIES,02,SPECIAL REVENUE
8576,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8577,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8578,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8579,0297,ASBESTOS CLAIMS TRUST FUND,02,SPECIAL REVENUE
8580,0902,MOTORBOAT AND WATER SAFETY FUND,09,DEDICATED SPECIAL REVENUE
8581,0773,GENERAL SINKING FUND,07,TRUST AND AGENCY
8582,0774,MISCELLANEOUS TRUST FUNDS,07,TRUST AND AGENCY
8583,0776,9-C HIGHER EDUCATION BONDS,07,TRUST AND AGENCY
8584,0821,VPBA PROJECTS - INTEREST,08,DEBT SERVICE
8585,0930,VIRGINIA CRIME VICTIM - WITNESS FUND,09,DEDICATED SPECIAL REVENUE
8586,0270,PARKING,02,SPECIAL REVENUE
8587,0777,9-D HIGHER EDUCATION BONDS,07,TRUST AND AGENCY
8588,0778,MCV HOSPITAL BOND FUND,07,TRUST AND AGENCY
8589,0779,UVA HOSPITAL BOND FUND,07,TRUST AND AGENCY
8590,0230,CORRECTIONS SPECIAL RESERVE FUND,02,SPECIAL REVENUE
8591,0240,VIRGINIA PUBLIC SAFETY FUND,02,SPECIAL REVENUE
8592,0246,DISASTER RECOVERY FUND,02,SPECIAL REVENUE
8593,0780,VPI BOND FUNDS,07,TRUST AND AGENCY
8594,0781,GENERAL OBLIGATION BOND FUND,07,TRUST AND AGENCY
8595,0782,COLEMAN BRIDGE FUND,07,TRUST AND AGENCY
8596,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8597,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8598,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8599,0270,PARKING,02,SPECIAL REVENUE
8600,0270,PARKING,02,SPECIAL REVENUE
8601,0388,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN/FED-HIGH ED,03,HIGHER EDUCATION OPERATING
8602,0389,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,03,HIGHER EDUCATION OPERATING
8603,0390,INSURANCE RECOVERY,03,HIGHER EDUCATION OPERATING
8604,0734,TEXACO OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8605,0811,9(B) DEBT SERVICE - CONSTRUCTION COSTS,08,DEBT SERVICE
8606,0817,VCBA 21ST CENTURY PROGRAM-CONSTRUCTION COST,08,DEBT SERVICE
8607,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8608,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8609,0270,PARKING,02,SPECIAL REVENUE
8610,0821,VPBA PROJECTS - INTEREST,08,DEBT SERVICE
8611,1088,SURPLUS SUPPLIES & EQUIP SALES - FEDERAL AGENCIES,10,FEDERAL TRUST
8612,0217,VA WINEGROWERS' PRODUCTIVITY FUND,02,SPECIAL REVENUE
8613,0904,NON GAME CASH FUND,09,DEDICATED SPECIAL REVENUE
8614,0905,LIFETIME HUNTING AND FISHING ENDOWMENT FUND,09,DEDICATED SPECIAL REVENUE
8615,0920,CAPITAL IMPROVEMENT FUND,09,DEDICATED SPECIAL REVENUE
8616,0270,PARKING,02,SPECIAL REVENUE
8617,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8618,0280,APPROPRIATED INDIRECT COST RECOVERIES,02,SPECIAL REVENUE
8619,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8620,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8621,0255,CONTRACT PRISONERS SPECIAL REVENUE FUND,02,SPECIAL REVENUE
8622,0270,PARKING,02,SPECIAL REVENUE
8624,0783,BOND FUNDS - JAMES MADISON UNIVERSITY,07,TRUST AND AGENCY
8625,0241,E-GOVERNMENT SERVICES FUND,02,SPECIAL REVENUE
8626,0270,PARKING,02,SPECIAL REVENUE
8627,0270,PARKING,02,SPECIAL REVENUE
8628,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8629,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8630,0520,HEALTH INSURANCE FUND - LOCAL,05,ENTERPRISE
8631,0734,TEXACO OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8632,0738,EXXON OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8633,0739,STRIPPER WELL OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8634,0740,DIAMOND SHAMROCK OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8635,0811,9(B) DEBT SERVICE - CONSTRUCTION COSTS,08,DEBT SERVICE
8636,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8637,0461,AVIATION FEES AND TAXES,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8638,0466,AVIATION EDUCATION FACILITIES FUND,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8639,0951,COMMONWEALTH TECHNOLOGY RESEARCH FUND,09,DEDICATED SPECIAL REVENUE
8640,0474,COMMONWEALTH PORT FUND,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8641,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8642,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8643,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8644,0708,RENTAL PAYMENT ESCROW FUND,07,TRUST AND AGENCY
8645,0739,STRIPPER WELL OIL OVERCHARGE FUND,07,TRUST AND AGENCY
8646,0903,VA CHILDREN'S MEDICAL SECURITY INSURANCE PLAN,09,DEDICATED SPECIAL REVENUE
8647,0922,VIRGINIA FISH PASSAGE GRANT & REVOLVING LOAN FUND,09,DEDICATED SPECIAL REVENUE
8648,0970,PARKING,09,DEDICATED SPECIAL REVENUE
8649,0986,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,09,DEDICATED SPECIAL REVENUE
8650,0911,FRAUD RECOVERY SPECIAL FUND,09,DEDICATED SPECIAL REVENUE
8651,0923,JOB INVESTMENT TRUST FUND,09,DEDICATED SPECIAL REVENUE
8652,0925,HOME ENERGY ASSISTANCE FUND,09,DEDICATED SPECIAL REVENUE
8653,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8654,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8655,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8656,0988,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,09,DEDICATED SPECIAL REVENUE
8657,0989,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,09,DEDICATED SPECIAL REVENUE
8658,0990,INSURANCE RECOVERY,09,DEDICATED SPECIAL REVENUE
8659,0220,VIRGINIA BREEDERS FUND,02,SPECIAL REVENUE
8660,0228,STATE RACING OPERATIONS FUND,02,SPECIAL REVENUE
8661,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8662,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8663,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8664,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8665,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8666,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8667,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8668,0293,ENERGY PERFORMANCE CONTRACTS,02,SPECIAL REVENUE
8669,0270,PARKING,02,SPECIAL REVENUE
8670,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8671,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8672,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8673,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8674,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8675,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8676,0702,LITERARY FUND,07,TRUST AND AGENCY
8677,0708,CONTESTED PESTICIDE PENALTIES,07,TRUST AND AGENCY
8678,0710,TOBACCO LOSS ASSISTANCE PROGRAM FUND,07,TRUST AND AGENCY
8679,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8680,0270,PARKING,02,SPECIAL REVENUE
8681,0471,TRANSPORTATION TRUST FUND,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8682,0475,COMMONWEALTH AIRPORT FUND,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8683,0486,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8684,0930,VIRGINIA CRIME VICTIM - WITNESS FUND,09,DEDICATED SPECIAL REVENUE
8685,0205,PROBATION & PAROLE OFFICERS FUND,02,SPECIAL REVENUE
8686,0230,CORRECTIONS SPECIAL RESERVE FUND,02,SPECIAL REVENUE
8687,0488,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
8688,0270,PARKING,02,SPECIAL REVENUE
8689,0270,PARKING,02,SPECIAL REVENUE
8690,0270,PARKING,02,SPECIAL REVENUE
8691,0702,LITERARY FUND,07,TRUST AND AGENCY
8692,0270,PARKING,02,SPECIAL REVENUE
8693,0270,PARKING,02,SPECIAL REVENUE
8694,0270,PARKING,02,SPECIAL REVENUE
8695,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8696,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8697,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8698,0289,PROCEEDS FROM SALE OF SURPLUS - LAND & BLDGS,02,SPECIAL REVENUE
8699,0240,VIRGINIA PUBLIC SAFETY FUND,02,SPECIAL REVENUE
8700,0246,DISASTER RECOVERY FUND,02,SPECIAL REVENUE
8701,0201,GARNISHMENT/CHILD SUPPORT FEES,02,SPECIAL REVENUE
8702,0702,LITERARY FUND,07,TRUST AND AGENCY
8703,0704,DEFERRED COMPENSATION,07,TRUST AND AGENCY
8704,0716,VIRGINIA FARM LOAN REVOLVING ACCOUNT,07,TRUST AND AGENCY
8705,0725,GRANTS-PROMOTE AGRICULTURE & EMERGENCY FOOD ASST,07,TRUST AND AGENCY
8707,0728,CDS OFFSET MONIES HELD IN SUSPENSE,07,TRUST AND AGENCY
8708,0729,FLEXIBLE BENEFITS CONCENTRATION ACCOUNT,07,TRUST AND AGENCY
8709,0756,LOTTERY PROCEEDS FUND,07,TRUST AND AGENCY
8710,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8711,0284,RECYCLABLE MATERIAL SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8712,0286,RECYCLABLE MATERIAL SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8713,0797,ASBESTOS CLAIMS TRUST FUND,07,TRUST AND AGENCY
8714,0907,VA ENVIRONMENTAL EMERGENCY RESPONSE FUND,09,DEDICATED SPECIAL REVENUE
8715,0953,DRUG OFFENDER ASSESSMENT FUND,09,DEDICATED SPECIAL REVENUE
8716,0271,STATE CENTRAL GARAGE POOL VEHICLES,02,SPECIAL REVENUE
8717,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8718,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8719,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8720,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8721,0287,SURPLUS SUPPLIES AND EQUIP SALES-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8722,0288,SURPLUS SUPPLIES & EQUIP SALES-NON-GEN-NON-HIGH ED,02,SPECIAL REVENUE
8723,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8724,0920,PERSONAL PROPERTY TAX RELIEF FUND,09,DEDICATED SPECIAL REVENUE
8725,0926,TECHNOLOGY INITIATIVE TOBACCO-DEPENDENT LOCALITIES,09,DEDICATED SPECIAL REVENUE
8726,0932,TICR FUND,09,DEDICATED SPECIAL REVENUE
8727,0942,TOBACCO INDEMNIFICATION/COMMUNITY REVITALIZATION,09,DEDICATED SPECIAL REVENUE
8728,0943,VIRGINIA TOBACCO SETTLEMENT FUND,09,DEDICATED SPECIAL REVENUE
8729,0270,PARKING,02,SPECIAL REVENUE
8730,0821,VPBA PROJECTS - INTEREST,08,DEBT SERVICE
8731,0270,PARKING,02,SPECIAL REVENUE
8732,0290,INSURANCE RECOVERY,02,SPECIAL REVENUE
8733,0820,VPBA PROJECTS,08,DEBT SERVICE
8734,0941,VETERANS SERVICES FUND,09,DEDICATED SPECIAL REVENUE
8735,0241,E-GOVERNMENT SERVICES FUND,02,SPECIAL REVENUE
8736,0265,ADVANCED COMMUNICATIONS ASSISTANCE FUND,02,SPECIAL REVENUE
8737,0951,COMMONWEALTH TECHNOLOGY RESEARCH FUND,09,DEDICATED SPECIAL REVENUE
