SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
4298,4,INDIVIDUAL AND FAMILY SERVICES,492,FIN ASST TO COMMUNITY HUMAN SERVICE ORGANIZATIONS,49203,,RESETTLEMENT ASSISTANCE
4299,8,ENTERPRISES,811,STATE LOTTERY OPERATIONS,81105,,EMERGENCY AND ENERGY ASSISTANCE
4300,8,ENTERPRISES,811,STATE LOTTERY OPERATIONS,81106,,REVENUE FORECASTING
4301,8,ENTERPRISES,811,STATE LOTTERY OPERATIONS,81107,,UNCLAIMED PROPERTY ADMINISTRATION
4302,8,ENTERPRISES,826,SERVICE CENTER ADMINISTRATION,82601,,ACCOUNTING AND TRUST SERVICES
4303,4,INDIVIDUAL AND FAMILY SERVICES,497,REGIONAL OFFICE SUPPORT AND ADMINISTRATION,49701,,TAX RETURN PROCESSING
4304,5,RESOURCE AND ECONOMIC DEVELOPMENT,516,ENVIRONMENTAL POLICY & PROGRAM DEVELOPMENT,51601,,DESIGNATED REFUNDS FOR TAXES & FEES
4305,5,RESOURCE AND ECONOMIC DEVELOPMENT,531,ANIMAL AND POULTRY DISEASE CONTROL,53101,,CHECK PROCESSING & BANK RECONCILIATION
4306,5,RESOURCE AND ECONOMIC DEVELOPMENT,531,ANIMAL AND POULTRY DISEASE CONTROL,53102,,CUSTOMER SERVICES
4307,5,RESOURCE AND ECONOMIC DEVELOPMENT,531,ANIMAL AND POULTRY DISEASE CONTROL,53104,,COMPLIANCE AUDIT
4308,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,AG INDUSTRY MARKETNG/DEVELOPMENT/PROMO/IMPROVEMENT,53201,,COMPLIANCE COLLECTIONS
4309,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,AG INDUSTRY MARKETNG/DEVELOPMENT/PROMO/IMPROVEMENT,53204,,ADMINISTRATIVE SERVICES
4310,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,AG INDUSTRY MARKETNG/DEVELOPMENT/PROMO/IMPROVEMENT,53205,,APPOINTMENTS
4311,3,ADMINISTRATION OF JUSTICE,360,FIN ASST TO LOCAL GOV FOR JUVENILE JUSTICE SVCS,36001,,AUTHENTICATION
4312,3,ADMINISTRATION OF JUSTICE,360,FIN ASST TO LOCAL GOV FOR JUVENILE JUSTICE SVCS,36002,,JUDICIAL SUPPORT SERVICES
4313,3,ADMINISTRATION OF JUSTICE,360,FIN ASST TO LOCAL GOV FOR JUVENILE JUSTICE SVCS,36003,,LOBBYIST AND ORGANIZATION REGISTRATIONS
4314,5,RESOURCE AND ECONOMIC DEVELOPMENT,511,WILDLIFE AND FRESHWATER FISHERIES MANAGEMENT,51102,,PHYSICAL PLANT SERVICES
4315,5,RESOURCE AND ECONOMIC DEVELOPMENT,511,WILDLIFE AND FRESHWATER FISHERIES MANAGEMENT,51103,,POWER PLANT OPERATION
4316,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,AIR PROTECTION,51325,,TRAINING AND EDUCATION SERVICES
4317,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,AIR PROTECTION,51326,,AG/URBAN NONPOINT SOURCE WATER QUALITY IMPROVEMENT
4318,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,AIR PROTECTION,51327,,DAM INV/EVALUATION/CLASSIFICATION/FLOOD PLAIN MGT
4319,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,AIR PROTECTION,51328,,NATURAL HERITAGE PRESERVATION AND MANAGEMENT
4320,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,AIR PROTECTION,51329,,FINANCIAL ASST-SOIL/WATER CONSERVATION DISTRICT
4321,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL FINANCIAL ASSISTANCE,51503,,TECHNICAL/FINANCIAL ASSISTANCE FOR LAND MANAGEMENT
4322,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL FINANCIAL ASSISTANCE,51509,,WATER PROTECTION PERMITTING
4323,5,RESOURCE AND ECONOMIC DEVELOPMENT,504,LEISURE AND RECREATION SERVICES,50406,,WATER PROTECTION COMPLIANCE/ENFORCEMENT
4324,7,GENERAL GOVERNMENT,773,FINANCIAL ASSISTANCE FOR CIRCUIT COURT CLERKS,77301,,WATER PROTECTION OUTREACH
4325,7,GENERAL GOVERNMENT,773,FINANCIAL ASSISTANCE FOR CIRCUIT COURT CLERKS,77302,,WATER PROTECTION PLANNING AND POLICY
4326,7,GENERAL GOVERNMENT,773,FINANCIAL ASSISTANCE FOR CIRCUIT COURT CLERKS,77303,,REIMBURSE MEDICAL SVCS-INVOLUNTARY MENTAL COMMIT
4327,8,ENTERPRISES,801,ALCOHOLIC BEVERAGE MERCHANDISING,80101,,EMERGENCY RESPONSE & RECOVERY SVCS
4328,8,ENTERPRISES,801,ALCOHOLIC BEVERAGE MERCHANDISING,80102,,FIN ASST-EMERGENCY RESPONSE & RECOVERY
4329,8,ENTERPRISES,801,ALCOHOLIC BEVERAGE MERCHANDISING,80103,,IMMUNIZATION PROGRAM
4330,8,ENTERPRISES,810,REHABILITATIVE INDUSTRIES,81003,,DISEASE INVESTIGATION & CONTROL SERVICES
4331,8,ENTERPRISES,820,COMPUTER SYSTEMS SERVICES,82005,,HIV/AIDS PREVENTION & TREATMENT SERVICES
4332,8,ENTERPRISES,820,COMPUTER SYSTEMS SERVICES,82006,,HEALTH RESEARCH  PLANNING  & COORDINATION
4333,8,ENTERPRISES,820,COMPUTER SYSTEMS SERVICES,82007,,REGULATION OF HEALTH CARE FACILITIES
4334,5,RESOURCE AND ECONOMIC DEVELOPMENT,555,REGULATION OF INDIVIDUAL SAFETY,55501,,CERTIFICATE OF PUBLIC NEED
4335,5,RESOURCE AND ECONOMIC DEVELOPMENT,555,REGULATION OF INDIVIDUAL SAFETY,55502,,MEALS SERVED IN GROUP SETTINGS
4336,4,INDIVIDUAL AND FAMILY SERVICES,491,FIN ASST FOR SUPPLEMENTAL ASSISTANCE SERVICES,49104,,DISTRIBUTION OF FOOD
4337,5,RESOURCE AND ECONOMIC DEVELOPMENT,507,RESOURCE MANAGEMENT RESEARCH/PLANNING/COORDINATION,50701,,DELIVERY OF MEALS TO HOME-BOUND INDIVIDUALS
4338,5,RESOURCE AND ECONOMIC DEVELOPMENT,507,RESOURCE MANAGEMENT RESEARCH/PLANNING/COORDINATION,50705,,RAIL/PUBLIC TRANSPORTATION PLAN/REGULATE/SAFETY
4339,5,RESOURCE AND ECONOMIC DEVELOPMENT,507,RESOURCE MANAGEMENT RESEARCH/PLANNING/COORDINATION,50706,,GROUND TRANSPORTATION PROGRAM MANAGEMENT/DIRECTION
4340,5,RESOURCE AND ECONOMIC DEVELOPMENT,530,AGRIC AND SEAFOOD PRODUCT PROMO AND DEVELOP SVCS,53001,,PUBLIC TRANSPORTATION PROGRAMS
4341,5,RESOURCE AND ECONOMIC DEVELOPMENT,530,AGRIC AND SEAFOOD PRODUCT PROMO AND DEVELOP SVCS,53004,,COMMUTER ASSISTANCE PROGRAMS
4342,1,EDUCATION,137,ARCHIVES MANAGEMENT,13701,,HUMAN SERVICE TRANSPORTATION PROGRAMS
4343,1,EDUCATION,137,ARCHIVES MANAGEMENT,13702,,BOAT REGISTRATION & TITLING
4344,1,EDUCATION,137,ARCHIVES MANAGEMENT,13703,,ENFORCEMENT OF BOATING SAFETY LAWS AND REGULATIONS
4345,1,EDUCATION,137,ARCHIVES MANAGEMENT,13704,,CASE MANAGEMENT SERVICES FOR VETERANS BENEFITS
4346,1,EDUCATION,137,ARCHIVES MANAGEMENT,13705,,COMMUNITY ACTION GRANTS
4347,1,EDUCATION,137,ARCHIVES MANAGEMENT,13706,,VOLUNTEER SERVICES
4348,7,GENERAL GOVERNMENT,738,CENTRAL RECORDS RETENTION SERVICES,73805,,OTHER PAYMENTS TO HUMAN SERVICES ORGANIZATIONS
4349,7,GENERAL GOVERNMENT,740,COLLECTION SERVICES,74001,,REGULATION & LAW ENFORCEMENT
4350,5,RESOURCE AND ECONOMIC DEVELOPMENT,502,HISTORIC AND COMMEMORATIVE ATTRACTION MANAGEMENT,50204,,GAMING OPERATIONS
4351,5,RESOURCE AND ECONOMIC DEVELOPMENT,502,HISTORIC AND COMMEMORATIVE ATTRACTION MANAGEMENT,50205,,ADMINISTRATIVE SERVICES
4352,5,RESOURCE AND ECONOMIC DEVELOPMENT,502,HISTORIC AND COMMEMORATIVE ATTRACTION MANAGEMENT,50206,,PAYROLL SERVICE BUREAU
4353,5,RESOURCE AND ECONOMIC DEVELOPMENT,502,HISTORIC AND COMMEMORATIVE ATTRACTION MANAGEMENT,50207,,REGIONAL AND AREAWIDE ASSISTANCE ADMINISTRATION
4354,5,RESOURCE AND ECONOMIC DEVELOPMENT,506,MINERALS MANAGEMENT,50601,,ENVIRONMENTAL POLICY AND PROGRAM DEVELOPMENT
4355,5,RESOURCE AND ECONOMIC DEVELOPMENT,506,MINERALS MANAGEMENT,50602,,ANIMAL DISEASE PREVENTION AND CONTROL
4356,5,RESOURCE AND ECONOMIC DEVELOPMENT,506,MINERALS MANAGEMENT,50603,,DIAGNOSTIC SERVICES
4357,5,RESOURCE AND ECONOMIC DEVELOPMENT,506,MINERALS MANAGEMENT,50604,,ANIMAL WELFARE
4358,5,RESOURCE AND ECONOMIC DEVELOPMENT,506,MINERALS MANAGEMENT,50605,,GRADING/ CERTIFICATION OF VA PRODUCTS
4359,5,RESOURCE AND ECONOMIC DEVELOPMENT,510,COSTAL LANDS SURVEYING AND MAPPING,51001,,MILK MARKETING REGULATION
4360,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,WATER PROTECTION,51229,,MARKETING RESEARCH
4361,3,ADMINISTRATION OF JUSTICE,390,FIN ASSIST FOR ADMINISTRATION OF JUSTICE SERVICES,39001,,FIN ASST FOR JUVENILE CONFINEMENT LOCAL FACILITIES
4362,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39901,,FIN ASST FOR PROBATION AND PAROLE -LOCAL GRANTS
4363,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39902,,FIN ASST COMMUNITY-BASED ALTERNATIVE TREATMENT SVC
4364,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39903,,WILDLIFE INFORMATION / EDUCATION
4365,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39904,,ENFORCEMENT OF RECREATIONAL HUNTING/FISHING LAWS
4366,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39907,,AIR PROTECTION PERMITTING
4367,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39914,,AIR PROTECTION COMPLIANCE/REGULATION
4368,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39915,,AIR PROTECTION OUTREACH
4369,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39916,,AIR PROTECTION PLANNING AND POLICY
4370,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39918,,AIR PROTECTION-MONITORING/ ASSESSMENT
4371,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39923,,VIRGINIA WATER FACILITIES REVOLVING FD LOANS/GRANT
4372,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39929,,LITTER CONTROL/ RECYCLING GRANTS
4373,4,INDIVIDUAL AND FAMILY SERVICES,457,NUTRITIONAL SERVICES,45708,,RECREATIONAL&OPEN SPACE RESOURCE/RESEARCH/PLANNING
4374,5,RESOURCE AND ECONOMIC DEVELOPMENT,561,REGULATION OF PUBLIC FACILITIES AND SERVICES,56101,,FIN ASST-CIRCUIT COURT CLERKS
4375,6,TRANSPORTATION,613,PUBLIC TRANSPORTATION SYS ACQUISITION/CONSTRUCTION,61301,,FIN ASST-OPERATIONS FOR CIRCUIT COURT CLERK
4376,4,INDIVIDUAL AND FAMILY SERVICES,492,FIN ASST TO COMMUNITY HUMAN SERVICE ORGANIZATIONS,49204,,FIN ASST-CIRCUIT COURT CLERKS' LAND RECORDS
4377,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49901,,ADMINISTRATIVE SERVICE
4378,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49902,,ALCOHOLIC BEVERAGE CONTROL RETAIL STORE OPERATION
4379,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49903,,ALCOHOLIC BEVERAGE PURCHASE/WAREHOUSE/DISTRIBUTION
4380,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49904,,MANUFACTURING SERVICES
4381,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49905,,DATA CENTER SERVICES
4382,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49907,,DESKTOP & END USER SERVICES
4383,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49914,,WEB DEVELOPMENT & SUPPORT SERVICES
4384,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49915,,VA OCCUPATIONAL SAFETY AND HEALTH SERVICES
4385,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49916,,ASBESTOS AND LEAD SAFETY SERVICES
4386,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49918,,CRIME VICTIM COMPENSATION
4387,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49919,,RESOURCE MANAGEMENT POLICY/PROGRAM DEVELOPMENT
4388,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49925,,ENERGY CONSERVATION/ALTERNATIVE ENERGY SUPPLY PGM
4389,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,AG INDUSTRY MARKETNG/DEVELOPMENT/PROMO/IMPROVEMENT,53206,,FINANCIAL ASST FOR ENERGY ECONOMIC DEVELOPMENT
4390,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,AG INDUSTRY MARKETNG/DEVELOPMENT/PROMO/IMPROVEMENT,53208,,GRANTS FOR AGRICULTURE/RESEARCH/EDUCATION/SVCS
4391,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,AG INDUSTRY MARKETNG/DEVELOPMENT/PROMO/IMPROVEMENT,53209,,OPERATION AND MAINTENANCE OF FARM MUSEUM
4392,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39801,,MANAGEMENT OF PUBLIC RECORDS
4393,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39802,,MANAGEMENT OF ARCHIVAL RECORDS
4394,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39803,,HISTORICAL AND CULTURAL PUBLICATIONS
4395,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39805,,ARCHIVAL RESEARCH SERVICES
4396,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39807,,CONSERVATION-PRESERVATION OF HISTORIC RECORDS
4397,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39810,,CIRCUIT COURT RECORD PRESERVATION
4398,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39811,,NOTARIES COMMISSIONING
4399,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39812,,STATE COLLECTION SERVICES
4400,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39815,,FINANCIAL ASSISTANCE FOR HISTORIC PRESERVATION
4401,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL FINANCIAL ASSISTANCE,51510,,HISTORIC RESOURCE MANAGEMENT
4402,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL FINANCIAL ASSISTANCE,51511,,STATE VETERANS CEMETERY MANAGEMENT & OPERATIONS
4403,7,GENERAL GOVERNMENT,782,ENACTMENT OF LAWS,78205,,EXECUTIVE MANSION OPERATIONS
4404,8,ENTERPRISES,828,TECHNOLOGY MANAGEMENT OVERSIGHT SERVICES,82801,,GEOLOGIC/MINERAL RESOURCE INVESTIGATION/MAPPING
4405,8,ENTERPRISES,828,TECHNOLOGY MANAGEMENT OVERSIGHT SERVICES,82802,,MINERAL MINING PROTECTION  WORKER SAFETY/LAND REC
4406,5,RESOURCE AND ECONOMIC DEVELOPMENT,558,REGULATION OF HORSE RACING AND PARI-MUTUEL BETTING,55801,,GAS/OIL ENVIR PROTECTION/WORKER SAFETY/LAND REC
4407,5,RESOURCE AND ECONOMIC DEVELOPMENT,558,REGULATION OF HORSE RACING AND PARI-MUTUEL BETTING,55802,,COAL ENVIRONMENTAL PROTECTION & LAND RECLAMATION
4408,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56033,,COAL WORKER SAFETY
4409,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56046,,COASTAL LANDS & BOTTOMLANDS MANAGEMENT
4410,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56047,,WATER PROTECTION MONITORING AND ASSESSMENT
4411,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56048,,FIN ASST FOR ADMINISTRATION OF JUSTICESERVICES
4412,5,RESOURCE AND ECONOMIC DEVELOPMENT,566,TEACHER LICENSURE AND EDUCATION,56601,,GENERAL MANAGEMENT AND DIRECTION
4413,5,RESOURCE AND ECONOMIC DEVELOPMENT,566,TEACHER LICENSURE AND EDUCATION,56602,,INFORMATION TECHNOLOGY SERVICES
4414,6,TRANSPORTATION,605,GROUND TRANSPORTATION SYSTEM SAFETY SERVICES,60508,,ACCOUNTING AND BUDGETING SERVICES
4415,6,TRANSPORTATION,610,FINANCIAL ASSISTANCE FOR RAIL PROGRAMS,61002,,ARCHITECTURAL & ENGINEERING SERVICES
4416,6,TRANSPORTATION,610,FINANCIAL ASSISTANCE FOR RAIL PROGRAMS,61003,,FOOD AND DIETARY SERVICES
4417,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43002,,HUMAN RESOURCES SERVICES
4418,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43005,,PHYSICAL PLANT SERVICES
4419,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43010,,PLANNING & EVALUATION SERVICES
4420,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43013,,PROCUREMENT & DISTRIBUTION SERVICES
4421,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43014,,SECURITY SERVICES
4422,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43015,,TRAINING ACADEMY
4423,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43016,,DISTRIBUTION OF USDA DONATED FOOD
4424,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43017,,REGULATION OF ADULT/CHILD WELFARE FACILITIES
4425,1,EDUCATION,185,SCHOOL AND DIVISION ASSISTANCE,18501,,TRANSPORTATION SYS DEVELOP/CONSTRUCT/PROGRAM MGMT
4426,1,EDUCATION,185,SCHOOL AND DIVISION ASSISTANCE,18502,,PAYMENTS TO HUMAN SERVICE ORGANIZATIONS
4427,1,EDUCATION,185,SCHOOL AND DIVISION ASSISTANCE,18503,,GENERAL MANAGEMENT AND DIRECTION
4428,1,EDUCATION,186,TECHNOLOGY ASSISTANCE SERVICES,18601,,INFORMATION TECHNOLOGY SERVICES
4429,1,EDUCATION,186,TECHNOLOGY ASSISTANCE SERVICES,18602,,ACCOUNTING & BUDGETING SERVICES
4430,7,GENERAL GOVERNMENT,774,FINANCIAL ASSISTANCE FOR LOCAL TREASURERS,77401,,ARCHITECTURAL AND ENGINEERING SERVICES
4431,7,GENERAL GOVERNMENT,774,FINANCIAL ASSISTANCE FOR LOCAL TREASURERS,77402,,COLLECTION AND LOCATOR SERVICES
4432,7,GENERAL GOVERNMENT,774,FINANCIAL ASSISTANCE FOR LOCAL TREASURERS,77403,,FOOD AND DIETARY SERVICES
4433,8,ENTERPRISES,822,TELECOMMUNICATIONS SERVICES,82201,,HUMAN RESOURCES SERVICES
4434,8,ENTERPRISES,822,TELECOMMUNICATIONS SERVICES,82203,,PHYSICAL PLANT SERVICES
4435,8,ENTERPRISES,822,TELECOMMUNICATIONS SERVICES,82204,,PLANNING AND EVALUATION SERVICES
4436,4,INDIVIDUAL AND FAMILY SERVICES,421,PHARMACY SERVICES,42101,,PROCUREMENT AND DISTRIBUTION SERVICES
4437,4,INDIVIDUAL AND FAMILY SERVICES,421,PHARMACY SERVICES,42102,,PUBLIC INFORMATION SERVICES
4438,4,INDIVIDUAL AND FAMILY SERVICES,454,REHABILITATION ASSISTANCE SERVICES,45404,,TRAINING AND EDUCATION SERVICES
4439,5,RESOURCE AND ECONOMIC DEVELOPMENT,510,COSTAL LANDS SURVEYING AND MAPPING,51002,,MARKET VA AG/FORESTRY PRODUCTS NATIONALLY/INTERNAT
4440,1,EDUCATION,112,HIGHER EDUCATION FEDERAL PROGRAMS COORDINATION,11201,,AGRICULTURAL COMMODITY BOARDS
4441,1,EDUCATION,142,STATEWIDE LIBRARY SERVICES,14203,,AGRIBUSINESS DEVELOPMENT SVC/FARMLAND PRESERVATION
4442,1,EDUCATION,142,STATEWIDE LIBRARY SERVICES,14206,,JUVENILE CORRECTIONS CENTER MANAGEMENT
4443,1,EDUCATION,178,STATE EDUCATION ASSISTANCE PROGRAMS,17801,,SUPERVISION AND MANAGEMENT OF INMATES
4444,1,EDUCATION,178,STATE EDUCATION ASSISTANCE PROGRAMS,17802,,REHABILITATION AND TREATMENT SERVICES-PRISONS
4445,1,EDUCATION,178,STATE EDUCATION ASSISTANCE PROGRAMS,17803,,PRISON MANAGEMENT
4446,1,EDUCATION,178,STATE EDUCATION ASSISTANCE PROGRAMS,17804,,FOOD SERVICES
4447,3,ADMINISTRATION OF JUSTICE,302,INFORMATION TECHNOLOGY SYS  TELECOM & RECORDS MGT,30201,,MEDICAL AND CLINICAL SERVICES
4448,3,ADMINISTRATION OF JUSTICE,302,INFORMATION TECHNOLOGY SYS  TELECOM & RECORDS MGT,30203,,AGRIBUSINESS
4449,3,ADMINISTRATION OF JUSTICE,302,INFORMATION TECHNOLOGY SYS  TELECOM & RECORDS MGT,30204,,CORRECTIONAL ENTERPRISES
4450,3,ADMINISTRATION OF JUSTICE,302,INFORMATION TECHNOLOGY SYS  TELECOM & RECORDS MGT,30206,,PHYSICAL PLANT SERVICES
4451,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39930,,VA WATER QUALITY IMPROVEMENT FUND
4452,3,ADMINISTRATION OF JUSTICE,399,ADMINISTRATIVE AND SUPPORT SERVICES,39931,,PETROLEUM TANK REIMBURSEMENT
4453,4,INDIVIDUAL AND FAMILY SERVICES,463,CHILD SUPPORT ENFORCEMENT SERVICES,46302,,UNDESIGNATED SUPPORT FOR ENACTMENT OF LAWS SVC
4454,5,RESOURCE AND ECONOMIC DEVELOPMENT,535,PLANT PEST AND DISEASE CONTROL,53504,,TECHNOLOGY MGMT OVERSIGHT SERVICES
4455,5,RESOURCE AND ECONOMIC DEVELOPMENT,550,CONSUMER AFFAIRS SERVICES,55001,,SECURITY SERVICES
4456,5,RESOURCE AND ECONOMIC DEVELOPMENT,550,CONSUMER AFFAIRS SERVICES,55002,,LICENSE/REGULATE HORSE RACING/PARI-MUTUEL WAGERING
4457,5,RESOURCE AND ECONOMIC DEVELOPMENT,564,DISTRIB OF FEES FROM & TO REGULATED ENTITIES & LOC,56401,,PROMOTE THE HORSE INDUSTRY
4458,5,RESOURCE AND ECONOMIC DEVELOPMENT,564,DISTRIB OF FEES FROM & TO REGULATED ENTITIES & LOC,56402,,BUSINESS REGULATION SERVICES
4459,5,RESOURCE AND ECONOMIC DEVELOPMENT,564,DISTRIB OF FEES FROM & TO REGULATED ENTITIES & LOC,56403,,LICENSE/CERTIFICATION/REG PROFESSIONS/OCCUPATIONS
4460,6,TRANSPORTATION,628,FINANCIAL ASSISTANCE FOR PORT ACTIVITIES,62801,,ENFORCE LICENSE/REG/CERT PROFESSIONS/OCCUPATIONS
4461,6,TRANSPORTATION,628,FINANCIAL ASSISTANCE FOR PORT ACTIVITIES,62802,,ADMINISTRATIVE SERVICES
4462,7,GENERAL GOVERNMENT,780,FINANCIAL ASSISTANCE FOR ELECTORAL SERVICES,78001,,TEACHER LICENSURE AND CERTIFICATION
4463,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49929,,TEACHER EDUCATION AND ASSISTANCE
4464,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49932,,TRANSPORTATION SAFETY ADMINISTRATION SERVICES
4465,4,INDIVIDUAL AND FAMILY SERVICES,499,ADMINISTRATIVE AND SUPPORT SERVICES,49933,,RAIL PRESERVATION PROGRAMS
4466,5,RESOURCE AND ECONOMIC DEVELOPMENT,501,FOREST MANAGEMENT,50102,,RAIL ENHANCEMENT PROGRAMS
4467,5,RESOURCE AND ECONOMIC DEVELOPMENT,501,FOREST MANAGEMENT,50103,,CHILD & ADOLESCENT HEALTH SERVICES
4468,5,RESOURCE AND ECONOMIC DEVELOPMENT,501,FOREST MANAGEMENT,50104,,WOMEN'S & INFANT'S HEALTH SERVICES
4469,5,RESOURCE AND ECONOMIC DEVELOPMENT,508,DRINKING WATER IMPROVEMENT,50801,,STATE MENTAL RETARDATION TRAINING CENTER SERVICES
4470,5,RESOURCE AND ECONOMIC DEVELOPMENT,508,DRINKING WATER IMPROVEMENT,50802,,VETERANS CARE CENTER OPERATIONS
4471,5,RESOURCE AND ECONOMIC DEVELOPMENT,508,DRINKING WATER IMPROVEMENT,50805,,STATE MENTAL HEALTH FACILITY SERVICES
4472,5,RESOURCE AND ECONOMIC DEVELOPMENT,514,ENVIRONMENTAL MONITORING & EVALUATION,51409,,CHRONIC DISEASE PREVENT/HEALTH PROMO/ORAL HEALTH
4473,5,RESOURCE AND ECONOMIC DEVELOPMENT,533,COMMUNITY DEVELOPMENT SERVICES,53301,,INJURY & VIOLENCE PREVENTION
4474,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39830,,WIC & COMMUNITY NUTRITION SERVICES
